X,Y,OGF_ID,LOCATION_ACCURACY,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
-75.5640561,45.3470546,181567069,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2321
-75.7797554,45.378755,181567054,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2337
-75.8353214,45.2946467,181567047,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2353
-75.8836314,45.3653862,181567053,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2369
-75.6668065,45.0369351000001,181470906,Within 10 metres,2022/07/19 11:33:03+00,2022/07/18 10:59:09+00,2022/07/19 22:39:25+00,2385
-75.6456299,45.0182803,181470914,Within 10 metres,2022/07/19 11:33:03+00,2022/07/18 11:06:10+00,2022/07/19 22:39:25+00,2401
-75.762122,45.3968018,181567077,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2417
-75.7528004,45.4043752,181567055,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2433
-75.8168713,45.3065663,181567046,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2449
-75.7442217,45.410382,181567056,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2465
-75.6725086,45.04093,181470905,Within 10 metres,2022/07/19 11:33:03+00,2022/07/18 10:58:06+00,2022/07/19 22:39:25+00,2481
-75.6874165,45.4539903,181567068,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2497
-77.1914714,45.256204,181566923,Within 10 metres,2022/07/19 15:55:46+00,2022/07/19 10:34:57+00,2022/07/19 22:39:25+00,2513
-76.8087397,45.2731231,181566919,Within 10 metres,2022/07/19 15:55:46+00,2022/07/19 10:32:03+00,2022/07/19 22:39:25+00,2529
-75.6457902,45.0300642,181470910,Within 10 metres,2022/07/19 11:33:03+00,2022/07/18 11:03:47+00,2022/07/19 22:39:25+00,2545
-75.6487675,45.0325325,181470912,Within 10 metres,2022/07/19 11:33:03+00,2022/07/18 11:04:26+00,2022/07/19 22:39:25+00,2561
-75.5920834,45.3544136,181567060,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2577
-75.8326734,45.3032843,181567078,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2593
-75.6817093,45.3863884,181567079,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2609
-75.5815098,45.4663518,181567066,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2625
-75.5759246,45.452124,181567065,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2641
-75.7124334,45.4190535,181567057,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2657
-76.8121835,45.2730341,181566918,Within 10 metres,2022/07/19 15:55:46+00,2022/07/19 10:31:53+00,2022/07/19 22:39:25+00,2673
-75.5471555,45.4089116,181567062,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2689
-75.6963498,45.3721286,181567058,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2705
-75.6395313,45.0055782,181470917,Within 10 metres,2022/07/19 11:33:03+00,2022/07/18 11:08:05+00,2022/07/19 22:39:25+00,2721
-75.5510274,45.3922229,181567063,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2737
-75.6668367,45.0369841,181470907,Within 10 metres,2022/07/19 11:33:03+00,2022/07/18 11:01:05+00,2022/07/19 22:39:25+00,2753
-75.6652313,45.0340536,181470908,Within 10 metres,2022/07/19 11:33:03+00,2022/07/18 11:01:34+00,2022/07/19 22:39:25+00,2769
-75.6403347,45.023272,181470916,Within 10 metres,2022/07/19 11:33:03+00,2022/07/18 11:07:10+00,2022/07/19 22:39:25+00,2785
-75.6110472,45.46371,181567067,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2801
-75.608554,45.3375675,181567059,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2817
-76.6941419,44.2148066,186525183,Within 10 metres,2022/08/18 13:35:42+00,2022/08/18 13:20:42+00,2022/08/18 22:24:25+00,2881
-76.537471,44.2206878,186525182,Within 10 metres,2022/08/18 13:35:42+00,2022/08/18 13:20:42+00,2022/08/18 22:24:25+00,2897
-75.7304022,44.6302741,186525181,Within 10 metres,2022/08/18 13:35:42+00,2022/08/18 13:20:42+00,2022/08/18 22:24:25+00,2913
-77.5263775,44.5164904,186716944,Within 10 metres,2022/08/18 15:08:50+00,2022/08/18 15:03:55+00,2022/08/18 22:24:25+00,2929
-75.7094864,44.622585,186525180,Within 10 metres,2022/08/18 13:35:42+00,2022/08/18 13:20:42+00,2022/08/18 22:24:25+00,2945
-75.7759696,44.5771309,186525179,Within 10 metres,2022/08/18 13:35:42+00,2022/08/18 13:20:42+00,2022/08/18 22:24:25+00,2961
-75.7753183,44.5764503,186525178,Within 10 metres,2022/08/18 13:35:42+00,2022/08/18 13:20:42+00,2022/08/18 22:24:25+00,2977
-76.5070566,44.2822253000001,186525177,Within 10 metres,2022/08/18 13:35:42+00,2022/08/18 13:20:42+00,2022/08/18 22:24:25+00,2993
-76.5113092,44.2805455,186525176,Within 10 metres,2022/08/18 13:35:42+00,2022/08/18 13:20:42+00,2022/08/18 22:24:25+00,3009
-76.5220958,44.2772501,186525175,Within 10 metres,2022/08/18 13:35:42+00,2022/08/18 13:20:42+00,2022/08/18 22:24:25+00,3025
-76.587265,44.460571,186525174,Within 10 metres,2022/08/18 13:35:42+00,2022/08/18 13:20:42+00,2022/08/18 22:24:25+00,3041
-76.9913486,43.9352165,186716943,Within 10 metres,2022/08/18 15:08:50+00,2022/08/18 15:03:55+00,2022/08/18 22:24:25+00,3057
-77.3443295,44.2761973,186716942,Within 10 metres,2022/08/18 15:08:49+00,2022/08/18 15:03:55+00,2022/08/18 22:24:25+00,3073
-77.3525777,44.2737242,186716941,Within 10 metres,2022/08/18 15:08:49+00,2022/08/18 15:03:55+00,2022/08/18 22:24:25+00,3089
-77.3447231,44.2768579,186716940,Within 10 metres,2022/08/18 15:08:49+00,2022/08/18 15:03:55+00,2022/08/18 22:24:25+00,3105
